Date,Open,High,Low,Close,High_Last_7_Days,Low_Last_7_Days,Days_Since_High_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_High_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,Low_Next_5_Days,%_Diff_From_High_Next_5_Days,%_Diff_From_Low_Next_5_Days
2024-10-14,65270.27,66588.86,64610.97,65929.56,65929.56,64460.8,7,1,0.0,2.2785,65793.97,65690.65,0.2061,0.3637
2024-10-14,65033.74,66347.56,64376.84,65690.65,65929.56,64757.78,6,2,-0.3624,1.4405,65956.21,65697.46,-0.4026,-0.0104
2024-10-14,65040.48,66354.43,64383.51,65697.46,65929.56,64757.78,5,1,-0.3521,1.4511,65956.21,65747.19,-0.3923,-0.0756
2024-10-14,65136.03,66451.91,64478.09,65793.97,65929.56,64798.16,4,2,-0.2057,1.5368,66360.48,65747.19,-0.8537,0.0711
2024-10-15,65089.72,66404.66,64432.25,65747.19,65929.56,64798.16,3,1,-0.2766,1.4646,66360.48,65785.65,-0.9242,-0.0585
2024-10-15,65127.8,66443.51,64469.94,65785.65,65929.56,65380.55,2,1,-0.2183,0.6196,66360.48,65904.91,-0.8662,-0.181
2024-10-15,65296.64,66615.77,64637.08,65956.21,65956.21,65690.65,7,2,0.0,0.4042,66360.48,65825.96,-0.6092,0.1979
2024-10-15,65279.26,66598.04,64619.88,65938.65,65956.21,65690.65,6,1,-0.0266,0.3775,66360.48,65711.35,-0.6357,0.3459
2024-10-15,65696.87,67024.08,65033.27,66360.48,66360.48,65697.46,7,1,0.0,1.0092,66049.99,65338.22,0.4701,1.5646
2024-10-15,65389.49,66710.49,64729.0,66049.99,66360.48,65747.19,6,2,-0.4679,0.4606,65904.91,65338.22,0.2201,1.0894
2024-10-15,65245.86,66563.96,64586.81,65904.91,66360.48,65747.19,5,1,-0.6865,0.2399,65825.96,65294.85,0.1199,0.9343
2024-10-15,65167.7,66484.22,64509.44,65825.96,66360.48,65785.65,4,1,-0.8055,0.0613,65733.36,65294.85,0.1409,0.8134
2024-10-15,65054.23,66368.46,64397.12,65711.35,66360.48,65711.35,3,7,-0.9782,0.0,65733.36,65294.85,-0.0335,0.6379
2024-10-15,64684.84,65991.6,64031.46,65338.22,66360.48,65338.22,2,7,-1.5405,0.0,65733.36,65294.85,-0.6011,0.0664
2024-10-15,64777.45,66086.08,64123.13,65431.77,66360.48,65338.22,1,6,-1.3995,0.1432,65733.36,65294.85,-0.4588,0.2097
2024-10-15,64641.9,65947.79,63988.95,65294.85,66049.99,65294.85,1,7,-1.1433,0.0,65733.36,65557.08,-0.6671,-0.4
2024-10-15,65076.03,66390.7,64418.7,65733.36,65904.91,65294.85,1,6,-0.2603,0.6716,65722.52,65498.32,0.0165,0.3589
2024-10-15,65014.54,66327.96,64357.83,65671.25,65825.96,65294.85,1,5,-0.235,0.5765,65786.85,65498.32,-0.1757,0.264
2024-10-15,65060.38,66374.73,64403.21,65717.56,65733.36,65294.85,5,4,-0.024,0.6474,67435.51,65498.32,-2.5475,0.3347
2024-10-15,64901.51,66212.65,64245.94,65557.08,65733.36,65294.85,4,3,-0.2682,0.4016,67435.51,65317.17,-2.7855,0.3673
2024-10-15,65065.29,66379.74,64408.07,65722.52,65733.36,65294.85,3,2,-0.0165,0.655,67435.51,65317.17,-2.5402,0.6206
2024-10-15,64843.34,66153.3,64188.36,65498.32,65733.36,65294.85,2,1,-0.3576,0.3116,67435.51,65317.17,-2.8727,0.2773
